model,scenario,region,variable,unit,mode,technology,fuel,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
,,,Population,million,,,,,,,,,,,,,,
,,,PPP-GDP,billion US$2005/yr,,,,,,,,,,,,,,
,,,Carbon Price,US$2005/tCO2eq,,,,,,,,,,,,,,
,,,CO2 Emissions (all sectors),Mt CO2/yr,,,,,,,,,,,,,,
,,,GHG Emissions (all sectors),Mt CO2-equiv/yr,,,,,,,,,,,,,,
,,,CO2 Concentration,ppm,,,,,,,,,,,,,,
,,,CO2eq Concentration,ppm,,,,,,,,,,,,,,
,,,Radiative Forcing,W/m2,,,,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,PHEV,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,PHEV,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,PHEV,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Aviation,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Aviation,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Aviation,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Bus,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Bus,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Bus,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Bus,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Bus,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,Bus,PHEV,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Bus,PHEV,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Bus,PHEV,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Domestic Shipping,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Domestic Shipping,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Domestic Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Domestic Shipping,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Coal,Coal,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Coal,Coal,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,HDT,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,HDT,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,HDT,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,HDT,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,HDT,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,HDT,PHEV,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,HDT,PHEV,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,HDT,PHEV,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,International Shipping,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,International Shipping,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,International Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,International Shipping,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,LDV,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,LDV,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,LDV,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,LDV,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,LDV,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,LDV,PHEV,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,LDV,PHEV,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,LDV,PHEV,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Passenger Rail,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Passenger Rail,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Passenger Rail,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Passenger Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Passenger Rail,NG,Natural Gas,,,,,,,,,,,
,,,intensity_new,MJ per vkm,2W and 3W,Liquids,Total Liquids,,,,,,,,,,,
,,,intensity_new,MJ per vkm,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,intensity_new,MJ per vkm,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,intensity_new,MJ per vkm,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,intensity_new,MJ per vkm,2W and 3W,PHEV,Total Liquids,,,,,,,,,,,
,,,intensity_new,MJ per vkm,2W and 3W,PHEV,Electricity,,,,,,,,,,,
,,,intensity_new,MJ per vkm,HDT,Liquids,Total Liquids,,,,,,,,,,,
,,,intensity_new,MJ per vkm,HDT,Electric,Electricity,,,,,,,,,,,
,,,intensity_new,MJ per vkm,HDT,Hydrogen,Hydrogen,,,,,,,,,,,
,,,intensity_new,MJ per vkm,HDT,NG,Natural Gas,,,,,,,,,,,
,,,intensity_new,MJ per vkm,HDT,PHEV,Total Liquids,,,,,,,,,,,
,,,intensity_new,MJ per vkm,HDT,PHEV,Electricity,,,,,,,,,,,
,,,intensity_new,MJ per vkm,LDV,Liquids,Total Liquids,,,,,,,,,,,
,,,intensity_new,MJ per vkm,LDV,Electric,Electricity,,,,,,,,,,,
,,,intensity_new,MJ per vkm,LDV,Hydrogen,Hydrogen,,,,,,,,,,,
,,,intensity_new,MJ per vkm,LDV,NG,Natural Gas,,,,,,,,,,,
,,,intensity_new,MJ per vkm,LDV,PHEV,Total Liquids,,,,,,,,,,,
,,,intensity_new,MJ per vkm,LDV,PHEV,Electricity,,,,,,,,,,,
,,,pkm,bn pkm/yr,2W and 3W,Liquids,Total Liquids,,,,,,,,,,,
,,,pkm,bn pkm/yr,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,pkm,bn pkm/yr,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,pkm,bn pkm/yr,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,pkm,bn pkm/yr,2W and 3W,PHEV,Total Liquids,,,,,,,,,,,
,,,pkm,bn pkm/yr,2W and 3W,PHEV,Electricity,,,,,,,,,,,
,,,pkm,bn pkm/yr,Aviation,Liquids,Total Liquids,,,,,,,,,,,
,,,pkm,bn pkm/yr,Aviation,Hydrogen,Hydrogen,,,,,,,,,,,
,,,pkm,bn pkm/yr,Bus,Liquids,Total Liquids,,,,,,,,,,,
,,,pkm,bn pkm/yr,Bus,Electric,Electricity,,,,,,,,,,,
,,,pkm,bn pkm/yr,Bus,Hydrogen,Hydrogen,,,,,,,,,,,
,,,pkm,bn pkm/yr,Bus,NG,Natural Gas,,,,,,,,,,,
,,,pkm,bn pkm/yr,Bus,PHEV,Total Liquids,,,,,,,,,,,
,,,pkm,bn pkm/yr,Bus,PHEV,Electricity,,,,,,,,,,,
,,,pkm,bn pkm/yr,LDV,Liquids,Total Liquids,,,,,,,,,,,
,,,pkm,bn pkm/yr,LDV,Electric,Electricity,,,,,,,,,,,
,,,pkm,bn pkm/yr,LDV,Hydrogen,Hydrogen,,,,,,,,,,,
,,,pkm,bn pkm/yr,LDV,NG,Natural Gas,,,,,,,,,,,
,,,pkm,bn pkm/yr,LDV,PHEV,Total Liquids,,,,,,,,,,,
,,,pkm,bn pkm/yr,LDV,PHEV,Electricity,,,,,,,,,,,
,,,pkm,bn pkm/yr,Passenger Rail,Liquids,Total Liquids,,,,,,,,,,,
,,,pkm,bn pkm/yr,Passenger Rail,Electric,Electricity,,,,,,,,,,,
,,,pkm,bn pkm/yr,Passenger Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,pkm,bn pkm/yr,Passenger Rail,NG,Natural Gas,,,,,,,,,,,
,,,sales,million vehicles/yr,2W and 3W,Liquids,Total Liquids,,,,,,,,,,,
,,,sales,million vehicles/yr,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,sales,million vehicles/yr,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,sales,million vehicles/yr,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,sales,million vehicles/yr,2W and 3W,PHEV,All,,,,,,,,,,,
,,,sales,million vehicles/yr,HDT,Liquids,Total Liquids,,,,,,,,,,,
,,,sales,million vehicles/yr,HDT,Electric,Electricity,,,,,,,,,,,
,,,sales,million vehicles/yr,HDT,Hydrogen,Hydrogen,,,,,,,,,,,
,,,sales,million vehicles/yr,HDT,NG,Natural Gas,,,,,,,,,,,
,,,sales,million vehicles/yr,HDT,PHEV,All,,,,,,,,,,,
,,,sales,million vehicles/yr,LDV,Liquids,Total Liquids,,,,,,,,,,,
,,,sales,million vehicles/yr,LDV,Electric,Electricity,,,,,,,,,,,
,,,sales,million vehicles/yr,LDV,Hydrogen,Hydrogen,,,,,,,,,,,
,,,sales,million vehicles/yr,LDV,NG,Natural Gas,,,,,,,,,,,
,,,sales,million vehicles/yr,LDV,PHEV,All,,,,,,,,,,,
,,,stock,million vehicles,2W and 3W,Liquids,Total Liquids,,,,,,,,,,,
,,,stock,million vehicles,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,stock,million vehicles,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,stock,million vehicles,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,stock,million vehicles,2W and 3W,PHEV,All,,,,,,,,,,,
,,,stock,million vehicles,HDT,Liquids,Total Liquids,,,,,,,,,,,
,,,stock,million vehicles,HDT,Electric,Electricity,,,,,,,,,,,
,,,stock,million vehicles,HDT,Hydrogen,Hydrogen,,,,,,,,,,,
,,,stock,million vehicles,HDT,NG,Natural Gas,,,,,,,,,,,
,,,stock,million vehicles,HDT,PHEV,All,,,,,,,,,,,
,,,stock,million vehicles,LDV,Liquids,Total Liquids,,,,,,,,,,,
,,,stock,million vehicles,LDV,Electric,Electricity,,,,,,,,,,,
,,,stock,million vehicles,LDV,Hydrogen,Hydrogen,,,,,,,,,,,
,,,stock,million vehicles,LDV,NG,Natural Gas,,,,,,,,,,,
,,,stock,million vehicles,LDV,PHEV,All,,,,,,,,,,,
,,,tkm,bn tkm/yr,Domestic Shipping,Liquids,Total Liquids,,,,,,,,,,,
,,,tkm,bn tkm/yr,Domestic Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,tkm,bn tkm/yr,Domestic Shipping,NG,Natural Gas,,,,,,,,,,,
,,,tkm,bn tkm/yr,Freight Rail,Coal,Coal,,,,,,,,,,,
,,,tkm,bn tkm/yr,Freight Rail,Liquids,Total Liquids,,,,,,,,,,,
,,,tkm,bn tkm/yr,Freight Rail,Electric,Electricity,,,,,,,,,,,
,,,tkm,bn tkm/yr,Freight Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,tkm,bn tkm/yr,Freight Rail,NG,Natural Gas,,,,,,,,,,,
,,,tkm,bn tkm/yr,HDT,Liquids,Total Liquids,,,,,,,,,,,
,,,tkm,bn tkm/yr,HDT,Electric,Electricity,,,,,,,,,,,
,,,tkm,bn tkm/yr,HDT,Hydrogen,Hydrogen,,,,,,,,,,,
,,,tkm,bn tkm/yr,HDT,NG,Natural Gas,,,,,,,,,,,
,,,tkm,bn tkm/yr,HDT,PHEV,Total Liquids,,,,,,,,,,,
,,,tkm,bn tkm/yr,HDT,PHEV,Electricity,,,,,,,,,,,
,,,tkm,bn tkm/yr,International Shipping,Liquids,Total Liquids,,,,,,,,,,,
,,,tkm,bn tkm/yr,International Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,tkm,bn tkm/yr,International Shipping,NG,Natural Gas,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,2W and 3W,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,2W and 3W,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,2W and 3W,PHEV,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,2W and 3W,PHEV,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,2W and 3W,PHEV,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Aviation,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Aviation,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Aviation,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Bus,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Bus,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Bus,Electric,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Bus,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Bus,NG,Natural Gas,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Bus,PHEV,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Bus,PHEV,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Bus,PHEV,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Domestic Shipping,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Domestic Shipping,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Domestic Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Domestic Shipping,NG,Natural Gas,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail and Air and Ship,Coal,Coal,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail and Air and Ship,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail and Air and Ship,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail and Air and Ship,Electric,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail and Air and Ship,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail and Air and Ship,NG,Natural Gas,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail,Coal,Coal,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail,Electric,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Freight Rail,NG,Natural Gas,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,HDT,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,HDT,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,HDT,Electric,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,HDT,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,HDT,NG,Natural Gas,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,HDT,PHEV,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,HDT,PHEV,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,HDT,PHEV,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,International Shipping,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,International Shipping,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,International Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,International Shipping,NG,Natural Gas,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,LDV,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,LDV,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,LDV,Electric,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,LDV,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,LDV,NG,Natural Gas,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,LDV,PHEV,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,LDV,PHEV,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,LDV,PHEV,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Passenger Rail,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Passenger Rail,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Passenger Rail,Electric,Electricity,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Passenger Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_bc,kt BC/yr,Passenger Rail,NG,Natural Gas,,,,,,,,,,,
,,,ttw_ch4,kt CH4/yr,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,ttw_ch4,kt CH4/yr,Bus,NG,Natural Gas,,,,,,,,,,,
,,,ttw_ch4,kt CH4/yr,Domestic Shipping,NG,Natural Gas,,,,,,,,,,,
,,,ttw_ch4,kt CH4/yr,Freight Rail and Air and Ship,NG,Natural Gas,,,,,,,,,,,
,,,ttw_ch4,kt CH4/yr,Freight Rail,NG,Natural Gas,,,,,,,,,,,
,,,ttw_ch4,kt CH4/yr,HDT,NG,Natural Gas,,,,,,,,,,,
,,,ttw_ch4,kt CH4/yr,International Shipping,NG,Natural Gas,,,,,,,,,,,
,,,ttw_ch4,kt CH4/yr,LDV,NG,Natural Gas,,,,,,,,,,,
,,,ttw_ch4,kt CH4/yr,Passenger Rail,NG,Natural Gas,,,,,,,,,,,
,,,ttw_co2,Mt CO2/yr,2W and 3W,Liquids,Fossil Liquids,,,,,,,,,,,
,,,ttw_co2,Mt CO2/yr,2W and 3W,Liquids,Biomass Liquids,,,,,,,,,,,
,,,ttw_co2,Mt CO2/yr,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,ttw_co2,Mt CO2/yr,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,ttw_co2,Mt CO2/yr,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,ttw_co2,Mt CO2/yr,2W and 3W,PHEV,Fossil Liquids,,,,,,,,,,,
